Content,author,published_date
People in #Wuhan #China lining up outside the largest chain store Zhongbei for buying meat. #coronavirus #CoronavirusOutbreak #COVID19 #Coronavirustruth #WuhanOutbreak #WuhanVirus #WuhanLockDown pic.twitter.com/oWQalcp9lk,Freechard,"Sun, 16 Feb 2020 05:51:38 GMT"
"I want to voice up for myself, for Wuhan people, for my #Chinese people""All the news in CCTV are FAKE#Wuhan #Coronavirus #Wuhanvirus #ChinaVirus #COVID19pic.twitter.com/4I9zmokLCw",Hana Joyce Young &nbsp;😷&nbsp;🌸&nbsp;☂️,"Sun, 16 Feb 2020 06:53:55 GMT"
"We've no trust in #HongKong govt.Apparently, it has no idea how to combat the #WuhanVirus outbreak. Even Singapore having known abt the epidemic later did better than HK.When it fails to stop ppl from evading mandatory quarantine, there's no way quarantine buildings 'll work. pic.twitter.com/bukKvE74ZX",Tom.T&nbsp;😷,"Sun, 16 Feb 2020 06:39:22 GMT"
This situation is happening at each HK public hospital.... #WuhanVirus https://t.co/Jb2Y1F6YTB,Hei,"Sun, 16 Feb 2020 03:12:58 GMT"
#COVIDー19Respect all the nurses! pic.twitter.com/e4P8KevZST,Syamhanin Adnan,"Sun, 16 Feb 2020 02:00:49 GMT"
"#WuhanLockDown #coronaviruschina #COVIDー19 Over 25,000 killed they have started shooting down all the people with the virus in China ( video shared by a reliable source in China ) pic.twitter.com/6llFWcRfS2",Jatinder S Bhatia,"Wed, 12 Feb 2020 22:07:42 GMT"
"Coronavirus is much more Contagious then said before - Los Alamos Study says:  R0 4.7 - 6.6 ! Its not 2.2 like told before and not 1.2 like ""the flu""https://t.co/aZrvLAVeSu#COVIDｰ19 #Coronavirus",RamalamaKlingelingelingDingdong,"Fri, 14 Feb 2020 12:58:21 GMT"
"BREAKING: #COVIDー19 #COVID19 #coronavirus United States believes #China under reporting infections by at least 100,000 and deaths significantly higher pic.twitter.com/FpCKI8Lm3N",Keith Erwood The ProtectEr™ CBCP,"Thu, 13 Feb 2020 14:48:58 GMT"
"Arrival numbers from mainland China into HK via Shenzhen Bay checkpoint more than doubled in past week #CarrieLam fanning the fire while pretending to be putting out the fire#WuhanCoronavirus#COVIDー19  Credit, Apple Daily pic.twitter.com/Vk872TOahe",Claudia Mo 毛孟靜,"Sat, 15 Feb 2020 14:50:23 GMT"
I took a cab this morning and to my surprise this is what I found!! Prevention is better than cure! #COVIDー19 #Changchun  #China pic.twitter.com/FGG9kbygHq,AshReem,"Sat, 15 Feb 2020 07:01:05 GMT"
Which one is more dangerous - coming down with the #coronavirus or daring to tell the truth about it? #COVIDー19 https://t.co/vm3U7b9vwm,Suzanne Nossel,"Sun, 16 Feb 2020 13:58:34 GMT"
#COVIDー19 calamity made by China. Book was published in 1981 pic.twitter.com/mcwd17FHQN,Nandakumar,"Sun, 16 Feb 2020 05:11:19 GMT"
"Professor Neil Ferguson of Imperial College London: China is ""only detecting probably 5% of cases...so I think it's misleading to look at the Chinese case numbers."" Watch video below #coronavirus #COVIDー19 https://t.co/O7srXGFEFv",NovelCoronaVirus,"Wed, 12 Feb 2020 21:18:25 GMT"
